boss_id,boss_name,boss_type,set_file,folder,sprite_id,source_sprite,source_size,output_sprite
BOSS_ELEMENTAL_LORDS,Elemental Lords,palace,boss_palace_set.json,palace,spr_boss_elemental_lords,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj032.png,112x112,assets/sprites/bosses/palace/spr_boss_elemental_lords.png
BOSS_PROGENITOR_ENGINE,Progenitor Engine,palace_final,boss_palace_set.json,palace,spr_boss_progenitor_engine,assets/sprites/bosses/_slices/spr_boss_import_demking_battler_3/spr_boss_import_demking_battler_3_obj001.png,592x576,assets/sprites/bosses/palace/spr_boss_progenitor_engine.png
BOSS_VOID_EMPRESS,Void Empress,palace,boss_palace_set.json,palace,spr_boss_void_empress,assets/sprites/bosses/_slices/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters_obj016.png,64x80,assets/sprites/bosses/palace/spr_boss_void_empress.png
BOSS_REMNANT_CUSTODIAN,Remnant Custodian,superboss,boss_remnant_vault.json,remnant,spr_boss_remnant_custodian,assets/sprites/bosses/_slices/spr_boss_import_demking_battler_3_2/spr_boss_import_demking_battler_3_2_obj001.png,592x576,assets/sprites/bosses/remnant/spr_boss_remnant_custodian.png
BOSS_GROWTH_WARDEN,Growth Warden,shrine,boss_shrine_set.json,shrine,spr_boss_growth_warden,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj083.png,112x80,assets/sprites/bosses/shrine/spr_boss_growth_warden.png
BOSS_HEAT_ELEMENTAL,Heat Elemental,shrine,boss_shrine_set.json,shrine,spr_boss_heat_elemental,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj248.png,80x80,assets/sprites/bosses/shrine/spr_boss_heat_elemental.png
BOSS_LIGHT_SERAPH,Light Seraph,shrine,boss_shrine_set.json,shrine,spr_boss_light_seraph,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj005.png,128x128,assets/sprites/bosses/shrine/spr_boss_light_seraph.png
BOSS_MASS_GOLEM,Mass Golem,shrine,boss_shrine_set.json,shrine,spr_boss_mass_golem,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj083.png,112x80,assets/sprites/bosses/shrine/spr_boss_mass_golem.png
BOSS_MOTION_SYLPH,Motion Sylph,shrine,boss_shrine_set.json,shrine,spr_boss_motion_sylph,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj014.png,64x64,assets/sprites/bosses/shrine/spr_boss_motion_sylph.png
BOSS_SHADOW_WRAITH,Shadow Wraith,shrine,boss_shrine_set.json,shrine,spr_boss_shadow_wraith,assets/sprites/bosses/_slices/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters_obj006.png,48x64,assets/sprites/bosses/shrine/spr_boss_shadow_wraith.png
BOSS_TIDE_LEVIATHAN,Tide Leviathan,shrine,boss_shrine_set.json,shrine,spr_boss_tide_leviathan,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj240.png,96x64,assets/sprites/bosses/shrine/spr_boss_tide_leviathan.png
BOSS_TIME_WEAVER,Time Weaver,shrine,boss_shrine_set.json,shrine,spr_boss_time_weaver,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj244.png,64x96,assets/sprites/bosses/shrine/spr_boss_time_weaver.png
BOSS_ALEXANDER,Alexander the Gate,tower_final,boss_tower_main.json,tower,spr_boss_alexander,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj018.png,128x112,assets/sprites/bosses/tower/spr_boss_alexander.png
BOSS_CAPTAIN_BRONT_KESSEL,Captain Bront Kessel,tower_captain,boss_tower_captains.json,tower,spr_boss_captain_bront_kessel,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj223.png,48x48,assets/sprites/bosses/tower/spr_boss_captain_bront_kessel.png
BOSS_CAPTAIN_CAEL_RORR,Captain Cael Rorr,tower_captain,boss_tower_captains.json,tower,spr_boss_captain_cael_rorr,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj013.png,32x64,assets/sprites/bosses/tower/spr_boss_captain_cael_rorr.png
BOSS_CAPTAIN_NULL_SCRIBE,Captain Null Scribe,tower_captain,boss_tower_captains.json,tower,spr_boss_captain_null_scribe,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj221.png,48x64,assets/sprites/bosses/tower/spr_boss_captain_null_scribe.png
BOSS_CAPTAIN_RESSA_VANE,Captain Ressa Vane,tower_captain,boss_tower_captains.json,tower,spr_boss_captain_ressa_vane,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters_obj002.png,32x64,assets/sprites/bosses/tower/spr_boss_captain_ressa_vane.png
BOSS_CAPTAIN_SEAM_WARDEN_PRIME,Seam Warden Prime,tower_captain,boss_tower_captains.json,tower,spr_boss_seam_warden_prime,assets/sprites/bosses/_slices/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters_obj012.png,80x96,assets/sprites/bosses/tower/spr_boss_seam_warden_prime.png
BOSS_CAPTAIN_VENN_HOLT,Captain Venn Holt,tower_captain,boss_tower_captains.json,tower,spr_boss_captain_venn_holt,assets/sprites/bosses/_slices/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters_obj013.png,64x80,assets/sprites/bosses/tower/spr_boss_captain_venn_holt.png
BOSS_DAX_KAINE,Dax Kaine,tower_main,boss_tower_main.json,tower,spr_boss_dax_kaine,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj021.png,80x80,assets/sprites/bosses/tower/spr_boss_dax_kaine.png
BOSS_MERCER,Mercer,tower_main,boss_tower_main.json,tower,spr_boss_mercer,assets/sprites/bosses/_slices/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters_obj005.png,48x64,assets/sprites/bosses/tower/spr_boss_mercer.png
BOSS_SENTINEL,Sentinel,tower_main,boss_tower_main.json,tower,spr_boss_sentinel,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters_obj009.png,96x80,assets/sprites/bosses/tower/spr_boss_sentinel.png
BOSS_VOID_ARCHITECT,Void Architect,tower_main,boss_tower_main.json,tower,spr_boss_void_architect,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters_obj004.png,80x112,assets/sprites/bosses/tower/spr_boss_void_architect.png
BOSS_YAKOV_THORNE,Yakov Thorne,tower_main,boss_tower_main.json,tower,spr_boss_yakov_thorne,assets/sprites/bosses/_slices/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters_obj011.png,80x96,assets/sprites/bosses/tower/spr_boss_yakov_thorne.png
