enemy_id,name,family,sprite_id,preferred_class,assigned_class,source_sprite,source_size,output_sprite,source_file,changed_in_visual_pass
ENEMY_DUST_SCAVENGER,Dust Scavenger,dustbelt,spr_enemy_dust_scavenger,medium,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters_obj007.png,48x64,assets/sprites/enemies/dustbelt/spr_enemy_dust_scavenger.png,assets/data/enemies/enemy_dustbelt_set.json,yes
ENEMY_DUST_SKIRMISHER,Dust Skirmisher,dustbelt,spr_enemy_dust_skirmisher,medium,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_type_0_monsters_obj005.png,48x64,assets/sprites/enemies/dustbelt/spr_enemy_dust_skirmisher.png,assets/data/enemies/enemy_dustbelt_set.json,yes
ENEMY_DUST_WASP,Dust Wasp,dustbelt,spr_enemy_dust_wasp,small,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj026.png,64x96,assets/sprites/enemies/dustbelt/spr_enemy_dust_wasp.png,assets/data/enemies/enemy_dustbelt_set.json,yes
ENEMY_EMBER_RUNNER,Ember Runner,ember,spr_enemy_ember_runner,medium,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj242.png,64x48,assets/sprites/enemies/ember/spr_enemy_ember_runner.png,assets/data/enemies/enemy_ember_set.json,yes
ENEMY_HEAT_CASTER,Heat Caster,ember,spr_enemy_heat_caster,medium,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj220.png,48x64,assets/sprites/enemies/ember/spr_enemy_heat_caster.png,assets/data/enemies/enemy_ember_set.json,yes
ENEMY_SLAG_MOTE,Slag Mote,ember,spr_enemy_slag_mote,small,small,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj005.png,48x48,assets/sprites/enemies/ember/spr_enemy_slag_mote.png,assets/data/enemies/enemy_ember_set.json,no
ENEMY_CHILL_CASTER,Chill Caster,frost,spr_enemy_chill_caster,medium,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj020.png,32x80,assets/sprites/enemies/frost/spr_enemy_chill_caster.png,assets/data/enemies/enemy_frost_set.json,yes
ENEMY_FROST_SKIRMISHER,Frost Skirmisher,frost,spr_enemy_frost_skirmisher,medium,medium,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj023.png,80x80,assets/sprites/enemies/frost/spr_enemy_frost_skirmisher.png,assets/data/enemies/enemy_frost_set.json,no
ENEMY_FROZEN_WATCHER,Frozen Watcher,frost,spr_enemy_frozen_watcher,large,large,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj002.png,80x128,assets/sprites/enemies/frost/spr_enemy_frozen_watcher.png,assets/data/enemies/enemy_frost_set.json,no
ENEMY_LEECHLING,Leechling,mire,spr_enemy_leechling,small,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj010.png,32x32,assets/sprites/enemies/mire/spr_enemy_leechling.png,assets/data/enemies/enemy_mire_set.json,yes
ENEMY_MIRE_BULLY,Mire Bully,mire,spr_enemy_mire_bully,large,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj247.png,80x80,assets/sprites/enemies/mire/spr_enemy_mire_bully.png,assets/data/enemies/enemy_mire_set.json,yes
ENEMY_SPORELING,Sporeling,mire,spr_enemy_sporeling,medium,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj199.png,32x32,assets/sprites/enemies/mire/spr_enemy_sporeling.png,assets/data/enemies/enemy_mire_set.json,yes
ENEMY_LAVA_HAZARD_UNIT,Lava Hazard Unit,obsidian,spr_enemy_lava_hazard_unit,medium,medium,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj025.png,80x64,assets/sprites/enemies/obsidian/spr_enemy_lava_hazard_unit.png,assets/data/enemies/enemy_obsidian_set.json,no
ENEMY_QUARRY_BRUTE,Quarry Brute,obsidian,spr_enemy_quarry_brute,large,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj222.png,48x48,assets/sprites/enemies/obsidian/spr_enemy_quarry_brute.png,assets/data/enemies/enemy_obsidian_set.json,yes
ENEMY_CRYSTAL_RANGED,Crystal Ranged,prism,spr_enemy_crystal_ranged,medium,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj029.png,96x80,assets/sprites/enemies/prism/spr_enemy_crystal_ranged.png,assets/data/enemies/enemy_prism_set.json,yes
ENEMY_REFRACTION_IMAGE,Refraction Image,prism,spr_enemy_refraction_image,medium,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj017.png,64x64,assets/sprites/enemies/prism/spr_enemy_refraction_image.png,assets/data/enemies/enemy_prism_set.json,yes
ENEMY_BRINE_CASTER,Brine Caster,tide,spr_enemy_brine_caster,medium,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj238.png,32x80,assets/sprites/enemies/tide/spr_enemy_brine_caster.png,assets/data/enemies/enemy_tide_set.json,yes
ENEMY_LAMPJAW_EEL,Lampjaw Eel,tide,spr_enemy_lampjaw_eel,small,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj239.png,80x80,assets/sprites/enemies/tide/spr_enemy_lampjaw_eel.png,assets/data/enemies/enemy_tide_set.json,yes
ENEMY_SCUTTLER,Scuttler,tide,spr_enemy_scuttler,small,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj025.png,64x48,assets/sprites/enemies/tide/spr_enemy_scuttler.png,assets/data/enemies/enemy_tide_set.json,yes
ENEMY_ROCK_BRUTE,Rock Brute,uplands,spr_enemy_rock_brute,large,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_viii_monsters_obj033.png,96x80,assets/sprites/enemies/uplands/spr_enemy_rock_brute.png,assets/data/enemies/enemy_uplands_set.json,yes
ENEMY_STRAY_WISP,Stray Wisp,uplands,spr_enemy_stray_wisp,small,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters/spr_boss_import_3ds_pictologica_final_fantasy_enemies_bosses_final_fantasy_v_monsters_obj230.png,32x32,assets/sprites/enemies/uplands/spr_enemy_stray_wisp.png,assets/data/enemies/enemy_uplands_set.json,yes
ENEMY_WIND_CASTER,Wind Caster,uplands,spr_enemy_wind_caster,medium,visual_pass,assets/sprites/bosses/_slices/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters/spr_boss_import_mobile_pictlogica_final_fantasy_enemies_bosses_mobius_final_fantasy_monsters_obj015.png,64x80,assets/sprites/enemies/uplands/spr_enemy_wind_caster.png,assets/data/enemies/enemy_uplands_set.json,yes
