file,id,group,status,priority,replacement_notes
amb_fire.ogg,amb_fire,root/sfx/ambient_loops,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_atk_sword.wav,sfx_atk_sword,root/sfx/combat_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_buff_cast.wav,sfx_buff_cast,root/sfx/combat_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_heal.wav,sfx_heal,root/sfx/combat_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_hit_critical.wav,sfx_hit_critical,root/sfx/combat_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_hit_fire.wav,sfx_hit_fire,root/sfx/combat_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_hit_ice.wav,sfx_hit_ice,root/sfx/combat_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_hit_physical.wav,sfx_hit_physical,root/sfx/combat_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_hit_thunder.wav,sfx_hit_thunder,root/sfx/combat_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_limit_charge.wav,sfx_limit_charge,root/sfx/combat_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_ui_cancel.wav,sfx_ui_cancel,root/sfx/ui_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_ui_close.wav,sfx_ui_close,root/sfx/ui_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_ui_confirm.wav,sfx_ui_confirm,root/sfx/ui_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_ui_equip.wav,sfx_ui_equip,root/sfx/ui_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_ui_open.wav,sfx_ui_open,root/sfx/ui_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_ui_save.wav,sfx_ui_save,root/sfx/ui_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_ui_select.wav,sfx_ui_select,root/sfx/ui_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
sfx_victory.wav,sfx_victory_fanfare,root/sfx/combat_sounds,placeholder_silence,medium,Replace in-place; keep filename stable.
vo_kade_atk.wav,vo_kade_atk,root/voice/battle_quotes,placeholder_silence,medium,Replace in-place; keep filename stable.
vo_kade_damage.wav,vo_kade_damage,root/voice/battle_quotes,placeholder_silence,medium,Replace in-place; keep filename stable.
vo_kade_limit.wav,vo_kade_limit,root/voice/battle_quotes,placeholder_silence,medium,Replace in-place; keep filename stable.
vo_kade_win.wav,vo_kade_win,root/voice/battle_quotes,placeholder_silence,medium,Replace in-place; keep filename stable.
vo_prologue_01.wav,vo_prologue_01,root/voice/story_vo,placeholder_silence,medium,Replace in-place; keep filename stable.
